,ExperimentID,AverageDuration,AverageTimeLoss,AverageWaitingTime,AverageQueueLength,AverageQueueLengthExp,maxDuration,maxTimeLoss,maxWaitingTime,maxQueueLength,maxQueueLengthExp,95thPercentileLength,95thPercentileLengthExp
0,4243.0,133.387,32.046,10.885,5.86,7.065,270.333,132.547,98.0,138.087,36.247,13.5,13.507
1,4246.0,145.784,44.066,18.556,7.48,8.985,336.667,192.51,143.333,66.05,81.067,21.0,21.003
2,4249.0,145.754,44.292,18.683,7.678,9.259,316.0,195.62,147.667,68.563,83.68,18.507,22.988
3,4252.0,159.078,57.77,27.362,10.078,12.218,436.333,288.697,239.667,175.4,126.137,28.507,31.067
4,4255.0,178.401,76.242,40.511,13.999,16.538,599.667,447.58,369.667,205.167,142.45,48.51,52.093
5,4258.0,242.418,139.243,89.533,25.423,27.908,903.333,763.897,665.0,295.883,192.78,96.02,98.485
6,4261.0,1216.779,1097.821,978.521,83.478,73.46,5106.333,4973.343,4668.667,392.667,299.597,201.112,204.278
mean,4252.0,317.372,213.069,169.15,22.0,22.205,1138.381,999.17,904.571,191.688,137.422,61.022,63.346
max,4261.0,1216.779,1097.821,978.521,83.478,73.46,5106.333,4973.343,4668.667,392.667,299.597,201.112,204.278
